id,id_equipo,tipo_equipo,marca,area_hospital,horas_uso,ultimo_mantenimiento,alerta_mantenimiento
20,EQ-20,Respirador Artificial,GE Healthcare,Urgencias,2022.8370193576789,2025-07-13,Requiere Mantenimiento Urgente
21,EQ-21,Electrocardiógrafo,Dräger,UCIs,1756.5747576993815,2026-02-01,Requiere Mantenimiento Urgente
22,EQ-22,Electrocardiógrafo,GE Healthcare,UCIs,1108.344397435078,2026-06-26,Operativo Seguro
23,EQ-23,Respirador Artificial,Dräger,Hospitalización,349.70629601213193,2026-03-06,Operativo Seguro
24,EQ-24,Bomba de Infusión,Philips,UCIs,1405.3997381176437,2025-12-22,Operativo Seguro
25,EQ-25,Electrocardiógrafo,GE Healthcare,Hospitalización,181.69026961088602,2025-09-21,Operativo Seguro
26,EQ-26,Respirador Artificial,GE Healthcare,Urgencias,2017.8375186794167,2025-07-22,Requiere Mantenimiento Urgente
27,EQ-27,Respirador Artificial,Dräger,UCIs,1382.3761088574242,2025-09-21,Operativo Seguro
28,EQ-28,Monitor de Signos Vitales,GE Healthcare,Urgencias,2389.65825504884,2026-06-13,Requiere Mantenimiento Urgente
29,EQ-29,Respirador Artificial,Dräger,Urgencias,129.26639748599894,2025-07-04,Operativo Seguro
30,EQ-30,Bomba de Infusión,Philips,Quirófanos,1965.5231406626697,2026-03-16,Requiere Mantenimiento Urgente
31,EQ-31,Bomba de Infusión,GE Healthcare,Urgencias,1250.6445464084327,2025-08-07,Operativo Seguro
32,EQ-32,Bomba de Infusión,GE Healthcare,Urgencias,1240.0287843350127,2025-08-01,Operativo Seguro
33,EQ-33,Respirador Artificial,GE Healthcare,Hospitalización,1137.8871669515333,2026-05-25,Operativo Seguro
34,EQ-34,Electrocardiógrafo,GE Healthcare,Quirófanos,1111.4149479653906,2026-04-01,Operativo Seguro
35,EQ-35,Electrocardiógrafo,Philips,Hospitalización,557.5192960878434,2026-06-24,Operativo Seguro
36,EQ-36,Monitor de Signos Vitales,Dräger,Urgencias,761.2001381028786,2025-09-15,Operativo Seguro
37,EQ-37,Electrocardiógrafo,Dräger,Hospitalización,1777.5817356029997,2026-06-03,Requiere Mantenimiento Urgente
38,EQ-38,Monitor de Signos Vitales,Philips,Hospitalización,167.2980585181208,2026-01-03,Operativo Seguro
39,EQ-39,Respirador Artificial,Dräger,Hospitalización,529.3903620356397,2025-11-06,Operativo Seguro
40,EQ-40,Electrocardiógrafo,Philips,Hospitalización,283.60247159148423,2026-02-18,Operativo Seguro
41,EQ-41,Bomba de Infusión,Philips,Quirófanos,1626.7345961101248,2026-02-17,Requiere Mantenimiento Urgente
42,EQ-42,Desfibrilador,GE Healthcare,Hospitalización,1658.2594336502075,2026-01-21,Requiere Mantenimiento Urgente
43,EQ-43,Respirador Artificial,GE Healthcare,Quirófanos,1762.2730501852968,2026-06-28,Requiere Mantenimiento Urgente
44,EQ-44,Electrocardiógrafo,Philips,Urgencias,133.19140864995222,2025-10-17,Operativo Seguro
45,EQ-45,Desfibrilador,GE Healthcare,Hospitalización,2319.0042582743063,2025-12-05,Requiere Mantenimiento Urgente
46,EQ-46,Electrocardiógrafo,Dräger,UCIs,1237.5543235320156,2026-02-09,Operativo Seguro
47,EQ-47,Respirador Artificial,GE Healthcare,Urgencias,2045.5144533203068,2025-11-19,Requiere Mantenimiento Urgente
48,EQ-48,Monitor de Signos Vitales,Philips,UCIs,1804.007779151036,2026-05-28,Requiere Mantenimiento Urgente
49,EQ-49,Electrocardiógrafo,Philips,Urgencias,2365.3482188599423,2025-07-10,Requiere Mantenimiento Urgente
50,EQ-50,Electrocardiógrafo,GE Healthcare,Quirófanos,1169.391262800017,2025-07-23,Operativo Seguro
51,EQ-51,Respirador Artificial,Dräger,Urgencias,199.51899951620638,2026-01-02,Operativo Seguro
52,EQ-52,Electrocardiógrafo,Philips,Hospitalización,335.0200289245181,2026-01-05,Operativo Seguro
53,EQ-53,Electrocardiógrafo,Philips,Urgencias,1363.5758501987455,2026-05-07,Operativo Seguro
54,EQ-54,Electrocardiógrafo,Dräger,Hospitalización,1641.9360820638883,2026-02-20,Requiere Mantenimiento Urgente
55,EQ-55,Desfibrilador,GE Healthcare,Urgencias,2279.9034599462193,2026-04-10,Requiere Mantenimiento Urgente
56,EQ-56,Bomba de Infusión,Philips,Hospitalización,848.2755295762662,2025-09-10,Operativo Seguro
57,EQ-57,Monitor de Signos Vitales,Dräger,UCIs,1548.8056071846966,2026-06-24,Requiere Mantenimiento Urgente
58,EQ-58,Electrocardiógrafo,GE Healthcare,UCIs,1102.7368360638754,2025-11-22,Operativo Seguro
59,EQ-59,Monitor de Signos Vitales,Philips,Urgencias,664.0677494272604,2025-07-06,Operativo Seguro
60,EQ-60,Monitor de Signos Vitales,Philips,Urgencias,1582.671802207781,2026-06-01,Requiere Mantenimiento Urgente
61,EQ-61,Respirador Artificial,Philips,Urgencias,1985.1701804866098,2026-05-21,Requiere Mantenimiento Urgente
62,EQ-62,Respirador Artificial,Philips,Urgencias,1105.526336168896,2026-03-23,Operativo Seguro
63,EQ-63,Respirador Artificial,Philips,Hospitalización,752.6148998281071,2026-03-31,Operativo Seguro
64,EQ-64,Bomba de Infusión,GE Healthcare,Hospitalización,936.9639245743855,2025-07-17,Operativo Seguro
65,EQ-65,Respirador Artificial,GE Healthcare,UCIs,507.8238434674981,2026-05-15,Operativo Seguro
66,EQ-66,Monitor de Signos Vitales,Dräger,Hospitalización,2020.5783794063864,2026-04-01,Requiere Mantenimiento Urgente
67,EQ-67,Bomba de Infusión,GE Healthcare,Quirófanos,1052.3833088920273,2026-01-13,Operativo Seguro
68,EQ-68,Electrocardiógrafo,GE Healthcare,Urgencias,66.47041991381553,2025-10-18,Operativo Seguro
69,EQ-69,Bomba de Infusión,GE Healthcare,UCIs,487.32979964531967,2026-06-10,Operativo Seguro
70,EQ-70,Electrocardiógrafo,Philips,Urgencias,171.51075259331046,2025-11-10,Operativo Seguro
71,EQ-71,Bomba de Infusión,Dräger,UCIs,2008.7080129743642,2025-08-21,Requiere Mantenimiento Urgente
72,EQ-72,Electrocardiógrafo,GE Healthcare,UCIs,1905.8576110324052,2026-06-01,Requiere Mantenimiento Urgente
73,EQ-73,Monitor de Signos Vitales,GE Healthcare,Hospitalización,2392.7622628964723,2026-05-22,Requiere Mantenimiento Urgente
74,EQ-74,Electrocardiógrafo,GE Healthcare,Hospitalización,1746.3223407560788,2026-06-10,Requiere Mantenimiento Urgente
75,EQ-75,Monitor de Signos Vitales,GE Healthcare,UCIs,2098.1985385687162,2026-06-15,Requiere Mantenimiento Urgente
76,EQ-76,Electrocardiógrafo,GE Healthcare,Urgencias,1046.7481190428064,2026-04-06,Operativo Seguro
77,EQ-77,Respirador Artificial,Dräger,UCIs,1595.6785692107235,2025-09-04,Requiere Mantenimiento Urgente
78,EQ-78,Desfibrilador,GE Healthcare,Urgencias,1747.7627176396245,2025-12-11,Requiere Mantenimiento Urgente
79,EQ-79,Electrocardiógrafo,GE Healthcare,Hospitalización,1686.1748776331742,2026-05-05,Requiere Mantenimiento Urgente
80,EQ-80,Respirador Artificial,Philips,Hospitalización,322.88898252006067,2026-04-20,Operativo Seguro
81,EQ-81,Electrocardiógrafo,GE Healthcare,UCIs,128.8917093842751,2026-02-22,Operativo Seguro
82,EQ-82,Electrocardiógrafo,Dräger,Hospitalización,221.77154233114254,2026-02-07,Operativo Seguro
83,EQ-83,Electrocardiógrafo,GE Healthcare,Urgencias,933.9643348680252,2025-10-07,Operativo Seguro
84,EQ-84,Respirador Artificial,GE Healthcare,Urgencias,550.5996176001115,2025-09-09,Operativo Seguro
85,EQ-85,Electrocardiógrafo,Philips,Urgencias,2112.642745148208,2025-09-19,Requiere Mantenimiento Urgente
86,EQ-86,Desfibrilador,GE Healthcare,Hospitalización,1675.8397718048247,2026-05-16,Requiere Mantenimiento Urgente
87,EQ-87,Bomba de Infusión,GE Healthcare,UCIs,1096.3158939857306,2025-08-13,Operativo Seguro
88,EQ-88,Respirador Artificial,GE Healthcare,Hospitalización,206.84140988625865,2026-05-17,Operativo Seguro
89,EQ-89,Respirador Artificial,GE Healthcare,Urgencias,13.417245309565729,2026-06-11,Operativo Seguro
90,EQ-90,Monitor de Signos Vitales,GE Healthcare,Urgencias,1824.7136861488652,2026-04-24,Requiere Mantenimiento Urgente
91,EQ-91,Electrocardiógrafo,GE Healthcare,Urgencias,2156.36517471678,2026-06-30,Requiere Mantenimiento Urgente
92,EQ-92,Desfibrilador,Philips,Hospitalización,1510.4653785704918,2026-01-01,Requiere Mantenimiento Urgente
93,EQ-93,Respirador Artificial,GE Healthcare,Quirófanos,1477.6519684320704,2025-11-12,Operativo Seguro
94,EQ-94,Monitor de Signos Vitales,GE Healthcare,UCIs,1609.8672572053024,2025-10-15,Requiere Mantenimiento Urgente
95,EQ-95,Desfibrilador,GE Healthcare,Urgencias,2249.706056405353,2026-06-05,Requiere Mantenimiento Urgente
96,EQ-96,Respirador Artificial,Dräger,Urgencias,97.84446502885984,2026-03-23,Operativo Seguro
97,EQ-97,Desfibrilador,GE Healthcare,Quirófanos,563.3711676215347,2025-11-16,Operativo Seguro
98,EQ-98,Electrocardiógrafo,Philips,Quirófanos,2176.124675260662,2025-08-29,Requiere Mantenimiento Urgente
99,EQ-99,Electrocardiógrafo,Dräger,Quirófanos,2366.5266189701856,2025-07-29,Requiere Mantenimiento Urgente
100,EQ-100,Electrocardiógrafo,GE Healthcare,Hospitalización,717.8436476436887,2025-07-05,Operativo Seguro
101,EQ-101,Monitor de Signos Vitales,Dräger,Quirófanos,490.3896473891317,2026-05-19,Operativo Seguro
102,EQ-102,Respirador Artificial,Philips,UCIs,207.66072208470126,2025-11-28,Operativo Seguro
103,EQ-103,Electrocardiógrafo,Philips,Hospitalización,1446.741197252614,2026-03-26,Operativo Seguro
104,EQ-104,Monitor de Signos Vitales,GE Healthcare,Urgencias,1955.75653612087,2025-08-09,Requiere Mantenimiento Urgente
105,EQ-105,Monitor de Signos Vitales,GE Healthcare,Urgencias,2194.1230764319025,2025-07-21,Requiere Mantenimiento Urgente
106,EQ-106,Monitor de Signos Vitales,Philips,UCIs,1608.5534174995091,2026-03-20,Requiere Mantenimiento Urgente
107,EQ-107,Monitor de Signos Vitales,Dräger,Hospitalización,1203.317477764945,2026-06-08,Operativo Seguro
108,EQ-108,Respirador Artificial,Philips,Urgencias,1221.8384834651324,2025-10-20,Operativo Seguro
109,EQ-109,Respirador Artificial,Dräger,Hospitalización,907.6253419521515,2025-10-11,Operativo Seguro
110,EQ-110,Bomba de Infusión,GE Healthcare,Hospitalización,1731.0314610022745,2026-05-25,Requiere Mantenimiento Urgente
111,EQ-111,Bomba de Infusión,Philips,UCIs,1199.1640553880407,2026-05-14,Operativo Seguro
112,EQ-112,Respirador Artificial,Dräger,Quirófanos,1810.7606989614858,2025-07-13,Requiere Mantenimiento Urgente
113,EQ-113,Electrocardiógrafo,GE Healthcare,Hospitalización,1917.6606698259816,2026-04-03,Requiere Mantenimiento Urgente
114,EQ-114,Respirador Artificial,Philips,Urgencias,2496.5035229901396,2026-01-02,Requiere Mantenimiento Urgente
115,EQ-115,Monitor de Signos Vitales,Dräger,Urgencias,439.9155219632489,2026-01-12,Operativo Seguro
116,EQ-116,Electrocardiógrafo,Philips,Urgencias,2122.375561931392,2025-09-28,Requiere Mantenimiento Urgente
117,EQ-117,Respirador Artificial,Philips,Urgencias,1441.116224833538,2026-03-12,Operativo Seguro
118,EQ-118,Electrocardiógrafo,GE Healthcare,Urgencias,2478.668065775518,2026-02-12,Requiere Mantenimiento Urgente
119,EQ-119,Respirador Artificial,GE Healthcare,UCIs,234.0372516736225,2025-11-12,Operativo Seguro
120,EQ-120,Monitor de Signos Vitales,Philips,UCIs,1215.9992299362373,2026-04-14,Operativo Seguro
121,EQ-121,Respirador Artificial,Philips,Urgencias,1748.929957422337,2026-01-25,Requiere Mantenimiento Urgente
122,EQ-122,Electrocardiógrafo,Dräger,Urgencias,1573.059998607331,2026-04-23,Requiere Mantenimiento Urgente
123,EQ-123,Electrocardiógrafo,Dräger,Hospitalización,599.7129574169768,2026-06-25,Operativo Seguro
124,EQ-124,Respirador Artificial,GE Healthcare,Urgencias,1089.1470307149282,2025-11-20,Operativo Seguro
125,EQ-125,Electrocardiógrafo,GE Healthcare,Urgencias,1874.4102837339708,2025-07-23,Requiere Mantenimiento Urgente
126,EQ-126,Respirador Artificial,GE Healthcare,Urgencias,1619.2373724324277,2025-10-09,Requiere Mantenimiento Urgente
127,EQ-127,Bomba de Infusión,GE Healthcare,UCIs,456.50921321574776,2025-12-23,Operativo Seguro
128,EQ-128,Electrocardiógrafo,GE Healthcare,Urgencias,1403.8833346528684,2025-12-13,Operativo Seguro
129,EQ-129,Respirador Artificial,GE Healthcare,Urgencias,2193.7107225688865,2025-12-30,Requiere Mantenimiento Urgente
130,EQ-130,Electrocardiógrafo,GE Healthcare,Urgencias,1891.3223986043886,2026-07-01,Requiere Mantenimiento Urgente
131,EQ-131,Respirador Artificial,GE Healthcare,UCIs,298.4120877766988,2025-10-31,Operativo Seguro
132,EQ-132,Electrocardiógrafo,GE Healthcare,UCIs,2222.06850893785,2025-11-18,Requiere Mantenimiento Urgente
133,EQ-133,Respirador Artificial,GE Healthcare,Urgencias,1806.4023591601651,2026-06-21,Requiere Mantenimiento Urgente
134,EQ-134,Respirador Artificial,Philips,Hospitalización,2228.125602513879,2025-07-21,Requiere Mantenimiento Urgente
135,EQ-135,Bomba de Infusión,Philips,Urgencias,1613.9458619149143,2025-08-28,Requiere Mantenimiento Urgente
136,EQ-136,Monitor de Signos Vitales,GE Healthcare,Quirófanos,2265.3570681099095,2025-07-17,Requiere Mantenimiento Urgente
137,EQ-137,Electrocardiógrafo,GE Healthcare,UCIs,2391.7238812860824,2025-07-03,Requiere Mantenimiento Urgente
138,EQ-138,Respirador Artificial,Dräger,Urgencias,1526.7890782240581,2025-09-20,Requiere Mantenimiento Urgente
139,EQ-139,Respirador Artificial,GE Healthcare,Hospitalización,716.7728379351898,2026-06-14,Operativo Seguro
140,EQ-140,Electrocardiógrafo,GE Healthcare,Hospitalización,38.718413943427954,2025-07-04,Operativo Seguro
141,EQ-141,Respirador Artificial,Dräger,UCIs,1593.2889769216033,2026-02-03,Requiere Mantenimiento Urgente
142,EQ-142,Respirador Artificial,Philips,Hospitalización,842.6420124628073,2025-08-23,Operativo Seguro
143,EQ-143,Bomba de Infusión,Dräger,UCIs,1386.632727885595,2026-06-16,Operativo Seguro
144,EQ-144,Respirador Artificial,Philips,Hospitalización,249.17812311910538,2025-12-13,Operativo Seguro
145,EQ-145,Respirador Artificial,GE Healthcare,Urgencias,228.30747600642633,2025-08-11,Operativo Seguro
146,EQ-146,Respirador Artificial,GE Healthcare,Hospitalización,1481.8848215389808,2025-09-15,Operativo Seguro
147,EQ-147,Monitor de Signos Vitales,GE Healthcare,Hospitalización,1305.7236582592068,2026-05-31,Operativo Seguro
148,EQ-148,Respirador Artificial,Dräger,UCIs,923.3335490673251,2026-02-05,Operativo Seguro
149,EQ-149,Electrocardiógrafo,Philips,Quirófanos,414.0567041240764,2025-07-06,Operativo Seguro
150,EQ-150,Electrocardiógrafo,Dräger,UCIs,1771.7160053773796,2025-12-23,Requiere Mantenimiento Urgente
151,EQ-151,Electrocardiógrafo,GE Healthcare,UCIs,1470.5963545806683,2026-03-11,Operativo Seguro
152,EQ-152,Respirador Artificial,Philips,Hospitalización,2241.1691707810496,2026-03-29,Requiere Mantenimiento Urgente
153,EQ-153,Monitor de Signos Vitales,GE Healthcare,Hospitalización,1029.8576103890261,2025-10-23,Operativo Seguro
154,EQ-154,Bomba de Infusión,Philips,Urgencias,1422.3668735779072,2026-01-15,Operativo Seguro
155,EQ-155,Respirador Artificial,GE Healthcare,UCIs,633.5677068162274,2025-07-07,Operativo Seguro
156,EQ-156,Bomba de Infusión,Philips,Hospitalización,512.7203697485575,2025-10-15,Operativo Seguro
157,EQ-157,Respirador Artificial,GE Healthcare,Urgencias,949.3080388802599,2025-12-27,Operativo Seguro
158,EQ-158,Bomba de Infusión,GE Healthcare,Urgencias,298.4262357195841,2026-06-24,Operativo Seguro
159,EQ-159,Electrocardiógrafo,GE Healthcare,Hospitalización,1189.458670885705,2025-09-25,Operativo Seguro
160,EQ-160,Respirador Artificial,Dräger,Urgencias,179.92378930084485,2026-04-01,Operativo Seguro
161,EQ-161,Electrocardiógrafo,Philips,Quirófanos,1686.2566029093737,2025-07-18,Requiere Mantenimiento Urgente
162,EQ-162,Monitor de Signos Vitales,GE Healthcare,Urgencias,612.5271381058178,2026-03-29,Operativo Seguro
163,EQ-163,Monitor de Signos Vitales,Philips,Urgencias,2432.464518935533,2025-07-14,Requiere Mantenimiento Urgente
164,EQ-164,Electrocardiógrafo,GE Healthcare,UCIs,1929.1733115360091,2025-08-27,Requiere Mantenimiento Urgente
165,EQ-165,Respirador Artificial,Philips,Quirófanos,196.29723936238324,2025-09-02,Operativo Seguro
166,EQ-166,Monitor de Signos Vitales,GE Healthcare,Urgencias,2404.6200990090942,2025-10-27,Requiere Mantenimiento Urgente
167,EQ-167,Electrocardiógrafo,GE Healthcare,Hospitalización,2058.134841970785,2026-03-26,Requiere Mantenimiento Urgente
168,EQ-168,Bomba de Infusión,Philips,Urgencias,1525.6291491406794,2025-08-04,Requiere Mantenimiento Urgente
169,EQ-169,Monitor de Signos Vitales,GE Healthcare,Urgencias,1379.8269490438613,2025-12-08,Operativo Seguro
170,EQ-170,Electrocardiógrafo,GE Healthcare,Hospitalización,349.14353437459215,2026-03-01,Operativo Seguro
171,EQ-171,Monitor de Signos Vitales,Philips,Hospitalización,1273.292645054084,2025-11-01,Operativo Seguro
172,EQ-172,Respirador Artificial,GE Healthcare,Urgencias,1525.939150390743,2025-09-22,Requiere Mantenimiento Urgente
173,EQ-173,Respirador Artificial,Philips,Urgencias,96.96146640276766,2026-01-31,Operativo Seguro
174,EQ-174,Bomba de Infusión,GE Healthcare,UCIs,48.791995547083914,2025-09-06,Operativo Seguro
175,EQ-175,Desfibrilador,Philips,Quirófanos,1046.7828502437412,2026-04-01,Operativo Seguro
176,EQ-176,Desfibrilador,Philips,Urgencias,1553.1840427638335,2025-08-25,Requiere Mantenimiento Urgente
177,EQ-177,Electrocardiógrafo,Philips,Hospitalización,1580.5838005214296,2026-06-29,Requiere Mantenimiento Urgente
178,EQ-178,Electrocardiógrafo,Philips,Quirófanos,860.5217514649732,2025-09-30,Operativo Seguro
179,EQ-179,Respirador Artificial,GE Healthcare,Urgencias,305.7587937627054,2025-07-29,Operativo Seguro
180,EQ-180,Respirador Artificial,Philips,Urgencias,325.930050136663,2025-09-06,Operativo Seguro
181,EQ-181,Electrocardiógrafo,GE Healthcare,Urgencias,2260.066027255097,2025-07-07,Requiere Mantenimiento Urgente
182,EQ-182,Respirador Artificial,GE Healthcare,Urgencias,1839.8183947232285,2025-12-13,Requiere Mantenimiento Urgente
183,EQ-183,Bomba de Infusión,GE Healthcare,Urgencias,865.4445765888047,2025-12-29,Operativo Seguro
184,EQ-184,Respirador Artificial,GE Healthcare,UCIs,233.22749714008577,2026-06-06,Operativo Seguro
185,EQ-185,Bomba de Infusión,GE Healthcare,UCIs,1870.2692208271753,2026-06-17,Requiere Mantenimiento Urgente
186,EQ-186,Electrocardiógrafo,Philips,Urgencias,474.54854226798295,2025-12-04,Operativo Seguro
187,EQ-187,Electrocardiógrafo,GE Healthcare,UCIs,1549.1889058354325,2026-05-08,Requiere Mantenimiento Urgente
188,EQ-188,Electrocardiógrafo,Dräger,Hospitalización,182.41069872638988,2025-12-21,Operativo Seguro
189,EQ-189,Electrocardiógrafo,GE Healthcare,Hospitalización,1084.3070924233823,2025-11-05,Operativo Seguro
190,EQ-190,Monitor de Signos Vitales,Dräger,UCIs,2031.2129524881525,2025-11-30,Requiere Mantenimiento Urgente
191,EQ-191,Bomba de Infusión,GE Healthcare,Urgencias,2002.055500413252,2026-03-16,Requiere Mantenimiento Urgente
192,EQ-192,Respirador Artificial,GE Healthcare,Urgencias,572.1908989614951,2026-01-20,Operativo Seguro
193,EQ-193,Monitor de Signos Vitales,Philips,Hospitalización,1377.683319852794,2025-10-16,Operativo Seguro
194,EQ-194,Respirador Artificial,Philips,UCIs,526.6827317516265,2025-07-25,Operativo Seguro
195,EQ-195,Respirador Artificial,Philips,Urgencias,1531.7809573486495,2025-11-03,Requiere Mantenimiento Urgente
196,EQ-196,Respirador Artificial,GE Healthcare,Urgencias,826.6477370884027,2026-04-17,Operativo Seguro
197,EQ-197,Respirador Artificial,GE Healthcare,Quirófanos,748.4992348055878,2026-01-20,Operativo Seguro
198,EQ-198,Respirador Artificial,GE Healthcare,UCIs,2242.1523758307626,2026-05-21,Requiere Mantenimiento Urgente
199,EQ-199,Electrocardiógrafo,Philips,Urgencias,1593.457244411493,2025-10-15,Requiere Mantenimiento Urgente
200,EQ-200,Respirador Artificial,Philips,Urgencias,2144.454494637117,2026-04-23,Requiere Mantenimiento Urgente
201,EQ-201,Electrocardiógrafo,Philips,Urgencias,2309.4497430449846,2025-08-18,Requiere Mantenimiento Urgente
202,EQ-202,Bomba de Infusión,GE Healthcare,Urgencias,537.59552410269,2025-12-07,Operativo Seguro
203,EQ-203,Monitor de Signos Vitales,GE Healthcare,Urgencias,699.2209144595754,2026-03-02,Operativo Seguro
204,EQ-204,Monitor de Signos Vitales,Philips,Urgencias,543.1050672876447,2025-09-23,Operativo Seguro
205,EQ-205,Electrocardiógrafo,GE Healthcare,Urgencias,1764.719521348584,2026-03-31,Requiere Mantenimiento Urgente
206,EQ-206,Electrocardiógrafo,Dräger,Hospitalización,2343.9183649121746,2026-02-12,Requiere Mantenimiento Urgente
207,EQ-207,Respirador Artificial,Philips,Hospitalización,249.30340526191196,2026-03-13,Operativo Seguro
208,EQ-208,Monitor de Signos Vitales,Dräger,Hospitalización,1641.9958038648908,2026-04-20,Requiere Mantenimiento Urgente
209,EQ-209,Respirador Artificial,Philips,UCIs,2011.8189223430372,2025-09-12,Requiere Mantenimiento Urgente
210,EQ-210,Electrocardiógrafo,Dräger,UCIs,1340.956595188737,2026-04-08,Operativo Seguro
211,EQ-211,Monitor de Signos Vitales,Philips,Urgencias,2081.394963538203,2025-08-03,Requiere Mantenimiento Urgente
212,EQ-212,Monitor de Signos Vitales,Dräger,Hospitalización,304.42289228742146,2025-10-24,Operativo Seguro
213,EQ-213,Electrocardiógrafo,Dräger,Urgencias,876.1337802298077,2026-07-01,Operativo Seguro
214,EQ-214,Electrocardiógrafo,GE Healthcare,UCIs,853.0580114929717,2026-04-05,Operativo Seguro
215,EQ-215,Respirador Artificial,GE Healthcare,UCIs,1210.630684196271,2026-05-13,Operativo Seguro
216,EQ-216,Monitor de Signos Vitales,GE Healthcare,Quirófanos,1892.1424870770122,2025-09-24,Requiere Mantenimiento Urgente
217,EQ-217,Bomba de Infusión,Dräger,Urgencias,2253.7875981262014,2026-06-30,Requiere Mantenimiento Urgente
218,EQ-218,Monitor de Signos Vitales,GE Healthcare,Urgencias,2451.9173777448573,2025-12-12,Requiere Mantenimiento Urgente
219,EQ-219,Monitor de Signos Vitales,Philips,UCIs,768.6417917600374,2025-08-21,Operativo Seguro
220,EQ-220,Respirador Artificial,Philips,UCIs,10.988617383558275,2026-03-26,Operativo Seguro
221,EQ-221,Monitor de Signos Vitales,Dräger,Urgencias,1404.6680820179834,2025-09-17,Operativo Seguro
222,EQ-222,Desfibrilador,GE Healthcare,UCIs,173.55396773079624,2025-09-02,Operativo Seguro
223,EQ-223,Electrocardiógrafo,Dräger,Hospitalización,104.88390146816184,2025-08-21,Operativo Seguro
224,EQ-224,Monitor de Signos Vitales,GE Healthcare,Urgencias,470.92472281604404,2026-05-01,Operativo Seguro
225,EQ-225,Respirador Artificial,GE Healthcare,Hospitalización,1192.7625530183059,2026-03-31,Operativo Seguro
226,EQ-226,Monitor de Signos Vitales,Philips,Urgencias,1597.1842636687,2026-02-17,Requiere Mantenimiento Urgente
227,EQ-227,Electrocardiógrafo,GE Healthcare,Hospitalización,1175.3371244984794,2026-02-07,Operativo Seguro
228,EQ-228,Monitor de Signos Vitales,Dräger,Hospitalización,666.5043641842672,2025-08-17,Operativo Seguro
229,EQ-229,Respirador Artificial,GE Healthcare,Urgencias,2141.0174886898094,2025-11-03,Requiere Mantenimiento Urgente
230,EQ-230,Electrocardiógrafo,GE Healthcare,Urgencias,2124.7571140434447,2025-08-15,Requiere Mantenimiento Urgente
231,EQ-231,Electrocardiógrafo,GE Healthcare,Urgencias,403.6968692512774,2026-01-29,Operativo Seguro
232,EQ-232,Respirador Artificial,GE Healthcare,UCIs,499.8668450623639,2025-09-05,Operativo Seguro
233,EQ-233,Bomba de Infusión,Philips,UCIs,1087.1367892900082,2025-07-14,Operativo Seguro
234,EQ-234,Electrocardiógrafo,Dräger,Urgencias,965.6048969137244,2026-03-24,Operativo Seguro
235,EQ-235,Electrocardiógrafo,GE Healthcare,Urgencias,1735.059022438434,2026-01-07,Requiere Mantenimiento Urgente
236,EQ-236,Desfibrilador,Philips,UCIs,2445.0247721346273,2026-05-18,Requiere Mantenimiento Urgente
237,EQ-237,Bomba de Infusión,Philips,Urgencias,1043.3417222746154,2025-07-11,Operativo Seguro
238,EQ-238,Monitor de Signos Vitales,Dräger,Hospitalización,678.3923692344918,2026-05-04,Operativo Seguro
